state_id,state_abbr,county_state_name,county_id,county_name,latitude,longitude,consolidated_city-county,population,population_cohort,employment,employment_cohort,doe_climate_zone,cohort,consumption_MWh
17,IL,"Piatt County, IL",17147,Piatt County,40.009056,-88.592328,,16469,04,4680,01,5,50401,76413
17,IL,"Pike County, IL",17149,Pike County,39.625106,-90.889034,,16054,04,6016,02,5,50402,73648
17,IL,"Pope County, IL",17151,Pope County,37.417169,-88.542374,,4255,01,427,01,4,40101,21545
17,IL,"Pulaski County, IL",17153,Pulaski County,37.215615,-89.127755,,5792,02,1155,01,4,40201,28156
17,IL,"Putnam County, IL",17155,Putnam County,41.198961,-89.298347,,5746,02,2220,01,5,50201,25584
17,IL,"Randolph County, IL",17157,Randolph County,38.056515,-89.82121,,32934,06,21319,05,4,40605,149669
17,IL,"Richland County, IL",17159,Richland County,38.711552,-88.085698,,16072,04,10656,03,4,40403,71983
17,IL,"Rock Island County, IL",17161,Rock Island County,41.468404,-90.572203,,146536,10,123285,09,5,51009,503626
17,IL,"St. Clair County, IL",17163,St. Clair County,38.470198,-89.928546,,265569,11,156080,10,4,41110,1251796
17,IL,"Saline County, IL",17165,Saline County,37.751508,-88.545024,,24659,05,13706,04,4,40504,126459
17,IL,"Sangamon County, IL",17167,Sangamon County,39.757258,-89.662032,,198639,11,171743,10,5,51110,947755
17,IL,"Schuyler County, IL",17169,Schuyler County,40.156905,-90.613464,,7205,02,2002,01,5,50201,35127
17,IL,"Scott County, IL",17171,Scott County,39.637002,-90.477771,,5169,02,894,01,5,50201,24874
17,IL,"Shelby County, IL",17173,Shelby County,39.384926,-88.798862,,22011,05,8205,03,4,40503,104072
17,IL,"Stark County, IL",17175,Stark County,41.096908,-89.797411,,5840,02,1984,01,5,50201,25679
17,IL,"Stephenson County, IL",17177,Stephenson County,42.349726,-89.665994,,46283,07,28758,06,5,50706,166426
17,IL,"Tazewell County, IL",17179,Tazewell County,40.508074,-89.51626,,135400,10,83794,08,5,51008,509524
17,IL,"Union County, IL",17181,Union County,37.485644,-89.244638,,17458,05,7255,02,4,40502,92936
17,IL,"Vermilion County, IL",17183,Vermilion County,40.186754,-87.726778,,79613,08,49031,07,5,50807,325728
17,IL,"Wabash County, IL",17185,Wabash County,38.445821,-87.839167,,11587,04,5429,02,4,40402,59434
17,IL,"Warren County, IL",17187,Warren County,40.850441,-90.620223,,17611,05,10973,03,5,50503,69205
17,IL,"Washington County, IL",17189,Washington County,38.35314,-89.417187,,14369,04,11189,03,4,40403,76722
17,IL,"Wayne County, IL",17191,Wayne County,38.431857,-88.43243,,16517,04,6298,02,4,40402,86243
17,IL,"White County, IL",17193,White County,38.087372,-88.178585,,14410,04,6680,02,4,40402,73916
17,IL,"Whiteside County, IL",17195,Whiteside County,41.750571,-89.910957,,57155,08,34409,06,5,50806,216555
17,IL,"Will County, IL",17197,Will County,41.448474,-87.978456,,685378,14,429284,12,5,51412,1994086
17,IL,"Williamson County, IL",17199,Williamson County,37.730353,-88.930018,,67336,08,47576,07,4,40807,353936
17,IL,"Winnebago County, IL",17201,Winnebago County,42.337396,-89.161205,,288896,12,236264,11,5,51211,889715
17,IL,"Woodford County, IL",17203,Woodford County,40.789789,-89.210607,,39123,07,17428,05,5,50705,155993
