X,Y,OBJECTID,SEGMENT,POINT,LATDD,LONDD,SEGPTID
-13423819.79,4600263.53,73,36727,2,38.1473529,-120.588212,367272
-13423085.29,4600240.754,74,36727,3,38.147192,-120.5816138,367273
-13422375.26,4600280.233,75,36727,4,38.1474709,-120.5752355,367274
-13421670,4600060.788,76,36727,5,38.1459206,-120.5689001,367275
-13421111.66,4598317.523,77,36728,1,38.1336039,-120.5638844,367281
-13419951.36,4599147.359,78,36728,2,38.1394672,-120.5534613,367282
-13418984.56,4599358.433,79,36728,3,38.1409585,-120.5447764,367283
-13418138.97,4599444.985,80,36728,4,38.14157,-120.5371803,367284
-13416325.99,4599834.511,81,36728,5,38.144322,-120.520894,367285
-13423388.05,4606755.659,82,36740,1,38.1932026,-120.5843336,367401
-13422654.74,4606923.575,83,36740,2,38.1943881,-120.5777461,367402
-13421430.54,4607450.145,84,36740,3,38.1981056,-120.566749,367403
-13420312.65,4608430.424,85,36740,4,38.2050257,-120.5567068,367404
-13442909.96,4638735.108,86,37153,1,38.4186315,-120.7597018,371531
-13442534.33,4639334.965,87,37153,2,38.4228533,-120.7563275,371532
-13442399.38,4640292.367,88,37153,3,38.429591,-120.7551152,371533
-13441503.04,4641165.243,89,37153,4,38.4357333,-120.7470632,371534
-13440921.99,4641594.453,90,37153,5,38.4387534,-120.7418436,371535
-13449113.89,4641929.153,91,37165,1,38.4411084,-120.8154327,371651
-13448394.31,4642395.761,92,37165,2,38.4443914,-120.8089686,371652
-13448144.7,4643230.693,93,37165,3,38.4502655,-120.8067263,371653
-13447815.66,4643829.278,94,37165,4,38.4544765,-120.8037705,371654
-13446902.6,4643870.459,95,37165,5,38.4547662,-120.7955683,371655
-13441811.17,4628873.376,96,37168,1,38.3491891,-120.7498312,371681
-13440079.99,4629733.088,97,37168,2,38.3552455,-120.7342798,371682
-13439226.05,4629487.108,98,37168,3,38.3535127,-120.7266087,371683
-13437104.92,4628699.013,99,37168,4,38.3479607,-120.7075543,371684
-13434664.31,4629543.478,100,37168,5,38.3539098,-120.6856299,371685
-13447056.06,4646034.092,101,37199,1,38.4699851,-120.7969469,371991
-13446331.71,4645844.934,102,37199,2,38.4686547,-120.7904399,371992
-13445582.86,4645818.232,103,37199,3,38.4684669,-120.7837129,371993
-13445062.13,4646080.614,104,37199,4,38.4703123,-120.7790351,371994
-13461850.76,4667297.47,105,37905,1,38.6193799,-120.9298499,379051
-13459722.33,4668983.125,106,37905,2,38.6312099,-120.9107299,379052
-13459438.47,4671327.546,107,37905,3,38.6476599,-120.9081799,379053
-13458714.89,4672262.614,108,37905,4,38.6542199,-120.9016799,379054
-13438979.42,4657090.434,109,37934,1,38.5477048,-120.7243932,379341
-13436736.47,4656899.549,110,37934,2,38.5463637,-120.7042444,379342
-13435952.99,4657249.254,111,37934,3,38.5488206,-120.6972063,379343
-13434844.65,4657662.342,112,37934,4,38.5517227,-120.6872499,379344
-13433756.02,4657565.364,113,37934,5,38.5510414,-120.6774706,379345
-13453270.76,4665860.494,114,38131,1,38.6092936,-120.8527744,381311
-13453143.56,4666864.716,115,38131,2,38.6163425,-120.8516318,381312
-13453307.78,4668300.138,116,38131,3,38.6264169,-120.853107,381313
-13445904.73,4655810.03,117,38188,1,38.5387086,-120.7866043,381881
-13445036.46,4654810.72,118,38188,2,38.5316866,-120.7788045,381882
-13443788.38,4654944.316,119,38188,3,38.5326254,-120.7675928,381883
-13503928.82,4737607.047,120,62701,1,39.1111564,-121.3078434,627011
-13502729.71,4737129.902,121,62701,2,39.1078305,-121.2970716,627012
-13501645.86,4736901.329,122,62701,3,39.1062372,-121.2873352,627013
-13500808.03,4737286.892,123,62701,4,39.1089248,-121.2798089,627014
-13500065.17,4737866.411,124,62701,5,39.1129642,-121.2731356,627015
-13437914.07,4623916.759,125,62710,1,38.3142614,-120.714823,627101
-13437016.53,4624199.878,126,62710,2,38.3162569,-120.7067603,627102
-13436269.48,4624505.848,127,62710,3,38.3184134,-120.7000494,627103
-13435593.49,4624511.183,128,62710,4,38.318451,-120.6939769,627104
-13434654.16,4624825.534,129,62710,5,38.3206665,-120.6855387,627105
-13504284.14,4785270.304,130,62787,1,39.442597,-121.3110352,627871
-13504986.39,4784524.123,131,62787,2,39.4374203,-121.3173437,627872
-13506897.92,4782743.587,132,62787,3,39.4250661,-121.3345152,627873
-13509060.25,4780798.721,133,62787,4,39.4115692,-121.3539398,627874
-13510061.7,4779623.95,134,62787,5,39.4034153,-121.3629359,627875
-13535746.53,4813423.761,135,62815,1,39.6376332,-121.5936666,628151
-13534846.7,4819176.228,136,62815,2,39.6774166,-121.5855833,628152
-13534891.21,4819991.041,137,62815,3,39.6830499,-121.5859832,628153
-13495063.31,4712165.47,138,62819,1,38.9335995,-121.2282032,628191
-13493727.45,4711686.444,139,62819,2,38.9302521,-121.216203,628192
-13490618.61,4709715.312,140,62819,3,38.9164763,-121.1882758,628193
-13494107.84,4719130.013,141,62977,1,38.9822494,-121.2196201,629771
-13491566.32,4717313.356,142,62977,3,38.9695626,-121.1967892,629773
-13489435.74,4717192.227,143,62977,4,38.9687166,-121.1776499,629774
-13492480.34,4718091.912,144,62977,2,38.975,-121.205,629772
